neighborhood,current_price,baseline_cagr,recovery_cagr,peak_price_2022,distance_from_peak,median_nightly_rate,median_monthly_str_income,median_bedrooms,occupancy_rate,listing_count,monthly_mortgage,monthly_property_tax,monthly_insurance,monthly_maintenance,monthly_base_costs,str_utilities,str_cleaning,str_supplies,str_platform_fees,str_additional_costs,str_total_costs,str_monthly_cash_flow,str_annual_cash_flow,str_cash_on_cash_return,estimated_ltr_rent,ltr_effective_rent,ltr_monthly_cash_flow,ltr_annual_cash_flow,ltr_cash_on_cash_return,str_total_invested,str_cumulative_cash_flow,str_appreciation_gain,str_principal_paydown,str_total_return,str_roi_pct,str_annualized_roi,ltr_total_invested,ltr_cumulative_cash_flow,ltr_appreciation_gain,ltr_principal_paydown,ltr_total_return,ltr_roi_pct,ltr_annualized_roi,metro,metro_display,state,has_str_data
Iron Triangle,458766.2463062005,5.669405816251638,-2.6500325729100327,538478.2680631406,-14.803201258921227,0.0,0.0,0.0,0.0,0,2441.7466269720207,879.3019720868842,267.61364367861694,382.3052052551671,3970.967447992689,200,300,75,0.0,575.0,4545.967447992689,-4545.967447992689,-54551.60937591227,-59.45468941442365,2752.5974778372033,2532.389679610227,-1438.5777683824617,-17262.93322058954,-18.81451976860075,(105516.23665042613+0j),(-272758.0468795613+0j),(86104.14192469488+0j),(21537.827941808326+0j),(-165116.07701305812+0j),(-156.48404667812923+0j),(-27.832309841366833+52.432896048160934j),105516.23665042613,-93501.6146544526,86104.14192469488,21537.827941808326,14140.355212050606,13.401117838288162,2.547119822909938,houston,"Houston Metro, TX",TX,False
Second Ward,285006.0873338938,3.8991018365577723,-4.3411324885503255,324955.7302297793,-12.293872419986783,0.0,0.0,0.0,0.0,0,1516.9220883559642,546.2616673899631,166.25355094477138,237.50507277824485,2466.9423794689437,200,300,75,0.0,575.0,3041.9423794689437,-3041.9423794689437,-36503.30855362733,-64.03952437489963,1995.0426113372566,1835.4392024302763,-631.5031770386674,-7578.038124464009,-13.294519768600754,(65551.40008679558+0j),(-182516.54276813666+0j),(53491.73961856897+0j),(13380.260908010154+0j),(-115644.54224155753+0j),(-176.41811172367701+0j),(-23.3350414829286+55.70035277041918j),65551.40008679558,-41045.0988540745,53491.73961856897,13380.260908010154,25826.901672504624,39.39946612628812,6.86911725296484,houston,"Houston Metro, TX",TX,False
Cypress Lakes,340328.5742168029,3.707060668748441,-1.1915812047487484,358805.8223077759,-5.1496511322281835,0.0,0.0,0.0,0.0,0,1811.3715968577,652.2964339155388,198.52500162646837,283.6071451806691,2945.800177580377,200,300,75,0.0,575.0,3520.800177580377,-3520.800177580377,-42249.60213096452,-62.07178199508137,2382.3000195176205,2191.716017956211,-754.0841596241657,-9049.009915489989,-13.294519768600754,(78275.57206986466+0j),(-211248.0106548226+0j),(63875.01280081988+0j),(15977.50125293684+0j),(-131395.49660106588+0j),(-167.86271007229328+0j),(-25.13412851711363+54.393239528500715j),78275.57206986466,-49012.35655093212,63875.01280081988,15977.50125293684,30840.1575028246,39.39946612628816,6.86911725296484,houston,"Houston Metro, TX",TX,False
Cypress Springs,247296.2115763094,-1.9889385786440172,,,,0.0,0.0,0.0,0.0,0,1316.2142928806213,473.9844055212597,144.25612341951384,206.08017631359118,2140.534998134986,200,300,75,0.0,575.0,2715.534998134986,-2715.534998134986,-32586.41997761983,-65.88540068994239,2102.01779839863,1933.8563745267397,-206.6786236082462,-2480.1434832989544,-5.014519768600749,(56878.12866255117+0j),(-162932.09988809915+0j),(46414.11235122534+0j),(11609.884769152413+0j),(-104908.1027677214+0j),(-184.44366091951508+0j),(-21.78842075679468+56.82403850265j),56878.12866255117,-13433.257100629111,46414.11235122534,11609.884769152413,44590.74001974864,78.39698855828813,12.27356263788748,houston,"Houston Metro, TX",TX,False
Ledgends Ranch,326259.1749863433,4.801709753949712,-0.15346285159548723,335041.1146443702,-2.6211528299589504,0.0,0.0,0.0,0.0,0,1736.4883455481254,625.3300853904913,190.31785207536691,271.88264582195274,2824.018928835936,200,300,75,0.0,575.0,3399.018928835936,-3399.018928835936,-40788.22714603123,-62.50893503261412,2283.814224904403,2101.1090869120508,-722.9098419238853,-8674.918103086624,-13.294519768600749,(75039.61024685897+0j),(-203941.13573015615+0j),(61234.37923658395+0j),(15316.981211826409+0j),(-127389.7752817458+0j),(-169.76337545287038+0j),(-24.71938789360999+54.69456622956758j),75039.61024685897,-46986.15462790048,61234.37923658395,15316.981211826409,29565.205820509873,39.39946612628818,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Quail Valley,278657.4328950259,-1.6755438123335464,,,,0.0,0.0,0.0,0.0,0,1483.1318832422903,534.0934130487996,162.5501691887651,232.21452741252156,2411.9899928923764,200,300,75,0.0,575.0,2986.9899928923764,-2986.9899928923764,-35843.879914708516,-64.31531278803426,1950.6020302651812,1794.5538678439668,-617.4361250484096,-7409.2335005809155,-13.294519768600747,(64091.209565855956+0j),(-179219.39957354259+0j),(52300.184121109254+0j),(13082.208843222732+0j),(-113837.0066092106+0j),(-177.61719178078408+0j),(-23.095946800072188+55.87406522573431j),64091.209565855956,-40130.79856150419,52300.184121109254,13082.208843222732,25251.594402827795,39.39946612628819,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Cypress Creek Lakes,562771.0819339888,4.944895058018606,0.6922863994411443,559432.7885095432,0.5967282384966577,0.0,0.0,0.0,0.0,0,2995.3040402029674,1078.6445737068118,328.28313112816016,468.9759016116573,4871.207646649596,200,300,75,0.0,575.0,5446.207646649596,-5446.207646649596,-65354.49175979516,-58.06489872862818,3376.626491603933,3106.496372275619,-1764.7112743739776,-21176.53529248773,-18.814519768600746,(129437.34884481745+0j),(-326772.4587989758+0j),(105624.42529308493+0j),(26420.57219970273+0j),(-194727.46130618814+0j),(-150.44147847901849+0j),(-29.44704534276901+51.2597220349122j),129437.34884481745,-114698.9458473375,105624.42529308493,26420.57219970273,17346.051645450163,13.401117838288204,2.547119822909938,houston,"Houston Metro, TX",TX,False
Mirabella,426804.26049723505,-1.1266229438128161,,,,0.0,0.0,0.0,0.0,0,2271.63151569533,818.0414992863672,248.96915195672045,355.67021708102925,3694.3123840194467,200,300,75,0.0,575.0,4269.312384019447,-4269.312384019447,-51231.74860823336,-60.017850511318,2560.8255629834102,2355.9595179447374,-1338.3528660747093,-16060.234392896511,-18.814519768600753,(98164.97991436407+0j),(-256158.7430411668+0j),(80105.31488707231+0j),(20037.299608316796+0j),(-156016.1285457777+0j),(-158.93257318636554+0j),(-27.217205651977373+52.87979540090665j),98164.97991436407,-86987.40986113329,80105.31488707231,20037.299608316796,13155.204634255817,13.401117838288142,2.547119822909938,houston,"Houston Metro, TX",TX,False
Greater Eastwood,305296.8041914645,5.111289933337315,-2.3653665591878092,329943.3362946562,-7.469928739879473,0.0,0.0,0.0,0.0,0,1624.917804790493,585.1522080336402,178.08980244502095,254.4140034928871,2642.573818762041,200,300,75,0.0,575.0,3217.573818762041,-3217.573818762041,-38610.88582514449,-63.234998360693574,2137.0776293402514,1966.1114189930313,-676.4623997690096,-8117.548797228115,-13.294519768600752,(70218.26496403683+0j),(-193054.42912572244+0j),(57300.02930449322+0j),(14332.854896807257+0j),(-121421.54492442196+0j),(-172.92017253147674+0j),(-24.050104247573657+55.18082926171146j),70218.26496403683,-43967.262682327506,57300.02930449322,14332.854896807257,27665.62151897297,39.399466126288175,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Greatwood,467425.396538358,0.037154420673513044,,,,0.0,0.0,0.0,0.0,0,2487.834261016707,895.8986766985195,272.6648146473755,389.521163781965,4045.9189161445665,200,300,75,0.0,575.0,4620.9189161445665,-4620.9189161445665,-55451.0269937348,-59.315376747168635,2804.5523792301483,2580.1881888917364,-1465.73072725283,-17588.76872703396,-18.814519768600746,(107507.84120382235+0j),(-277255.134968674+0j),(87729.34584180982+0j),(21944.351502170728+0j),(-167581.43762469344+0j),(-155.87833942919434+0j),(-27.987756243400785+52.31995762625785j),107507.84120382235,-95266.44485885653,87729.34584180982,21944.351502170728,14407.252485124016,13.401117838288226,2.547119822909938,houston,"Houston Metro, TX",TX,False
Kashmere Gardens,137581.4472470759,3.287862365481131,-7.7358139724076125,175663.7705587057,-21.67909933306533,0.0,0.0,0.0,0.0,0,732.2662411507413,263.6977738902288,80.25584422746094,114.65120603922992,1190.871065307661,200,300,75,0.0,575.0,1765.871065307661,-1765.871065307661,-21190.45278369193,-77.01057521817245,1169.4423016001454,1075.8869174721337,-114.98414783552721,-1379.8097740263265,-5.014519768600749,(31643.73286682746+0j),(-105952.26391845965+0j),(25822.153559354017+0j),(6459.074883235269+0j),(-73671.03547587036+0j),(-232.81398495529797+0j),(-14.373852215985705+62.211037874358375j),31643.73286682746,-7473.494807567295,25822.153559354017,6459.074883235269,24807.733635021992,78.39698855828814,12.273562637887503,houston,"Houston Metro, TX",TX,False
Atascocita South,267806.45517860696,-1.5688226484305456,,,,0.0,0.0,0.0,0.0,0,1425.3784228433528,513.2957057589966,156.22043218752074,223.17204598217248,2318.0666067720426,200,300,75,0.0,575.0,2893.0666067720426,-2893.0666067720426,-34716.79928126451,-64.81695756383277,1874.6451862502488,1724.673571350229,-593.3930354218137,-7120.716425061764,-13.294519768600752,(61595.484691079604+0j),(-173583.99640632255+0j),(50263.60420085804+0j),(12572.78494175148+0j),(-110747.60726371303+0j),(-179.7982560233863+0j),(-22.668519530517894+56.18460931469471j),61595.484691079604,-38568.09701642459,50263.60420085804,12572.78494175148,24268.292126184933,39.39946612628818,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Willowbrook,242298.9067508017,4.518869854923024,-2.0964385568070565,260249.9804013467,-6.89762728237735,0.0,0.0,0.0,0.0,0,1289.6165379239712,464.40623793903654,141.34102893796765,201.91575562566808,2097.2795604266435,200,300,75,0.0,575.0,2672.2795604266435,-2672.2795604266435,-32067.354725119723,-66.17313126819056,2059.5407073818146,1894.7774507912695,-202.50210963537393,-2430.025315624487,-5.014519768600745,(55728.74855268439+0j),(-160336.7736255986+0j),(45476.186670334515+0j),(11375.274894578703+0j),(-103485.31206068539+0j),(-185.6946634336375+0j),(-21.558046613294323+56.99141511525582j),55728.74855268439,-13161.80093838803,45476.186670334515,11375.274894578703,43689.66062652519,78.39698855828821,12.273562637887503,houston,"Houston Metro, TX",TX,False
Hilltop District,761947.4290573425,3.624773772679979,-3.7793673876021505,945419.6220462812,-19.406429558953796,0.0,0.0,0.0,0.0,0,4055.4042059777044,1460.399239026573,444.4693336167831,634.9561908811187,6595.228969502179,200,300,75,0.0,575.0,7170.228969502179,-7170.228969502179,-86042.74763402615,-56.462391204912606,4190.710859815384,3855.4539910301532,-2739.774978472026,-32877.29974166431,-21.57451976860075,(175247.90868318878+0j),(-430213.73817013076+0j),(143007.0980569066+0j),(35771.36016407586+0j),(-251435.2799491483+0j),(-143.47405446286393+0j),(-31.513704778403707+49.75820606402004j),175247.90868318878,-178074.0603026586,143007.0980569066,35771.36016407586,704.3979183238698,0.40194369428811416,0.08025980269665833,houston,"Houston Metro, TX",TX,False
Riverstone,734976.2699058986,6.050600384142424,3.9212690392978367,681959.9097450682,7.774116836376654,0.0,0.0,0.0,0.0,0,3911.852370127061,1408.704517319639,428.7361574451075,612.4802249215821,6361.77326981339,200,300,75,0.0,575.0,6936.77326981339,-6936.77326981339,-83241.27923776067,-56.62854887030455,4042.369484482442,3718.979925723847,-2642.7933440895426,-31713.52012907451,-21.574519768600755,(169044.5420783567+0j),(-416206.39618880337+0j),(137944.98083675816+0j),(34505.137572784326+0j),(-243756.27777926088+0j),(-144.19647909500284+0j),(-31.287590316428314+49.92248783684221j),169044.5420783567,-171770.6545321204,137944.98083675816,34505.137572784326,679.4638774220948,0.4019436942880682,0.08025980269665833,houston,"Houston Metro, TX",TX,False
South Shore Harbour,386742.13823846664,-0.6961379103936793,,,,0.0,0.0,0.0,0.0,0,2058.404076487873,741.2557649570609,225.59958063910554,322.28511519872217,3347.5445372827617,200,300,75,0.0,575.0,3922.5445372827617,-3922.5445372827617,-47070.53444739314,-60.855192379333225,2707.1949676692666,2490.6193702557252,-856.9251670270364,-10283.102004324437,-13.294519768600749,(88950.69179484733+0j),(-235352.6722369657+0j),(72586.20316395065+0j),(18156.49189166288+0j),(-144609.97718135218+0j),(-162.57319000382304+0j),(-26.339391226503306+53.51756491271016j),88950.69179484733,-55696.59737280366,72586.20316395065,18156.49189166288,35046.097682809865,39.399466126288175,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Silver Ranch,477673.210076324,0.6203274958323179,,,,0.0,0.0,0.0,0.0,0,2542.3774283522253,915.5403193129542,278.6427058778557,398.06100839693664,4134.621461939972,200,300,75,0.0,575.0,4709.621461939972,-4709.621461939972,-56515.457543279656,-59.15703073891191,2866.0392604579442,2636.7561196213087,-1497.865342318663,-17974.384107823957,-18.81451976860075,(109864.83831755453+0j),(-282577.28771639825+0j),(89652.72010570863+0j),(22425.458485383948+0j),(-170499.10912530567+0j),(-155.18987852373039+0j),(-28.166085698364697+52.19039369323056j),109864.83831755453,-97355.06214531237,89652.72010570863,22425.458485383948,14723.116445780208,13.401117838288126,2.547119822909938,houston,"Houston Metro, TX",TX,False
Imperial Oaks,340641.24166256597,3.0002758048147005,-0.4886756119528268,351653.528371267,-3.1315729319441266,0.0,0.0,0.0,0.0,0,1813.0357443123198,652.8957131865848,198.70739096983016,283.86770138547166,2948.5065498542067,200,300,75,0.0,575.0,3523.5065498542067,-3523.5065498542067,-42282.07859825048,-62.062477214861836,2384.488691637962,2193.729596306925,-754.7769535472817,-9057.32344256738,-13.294519768600754,(78347.48558239017+0j),(-211410.39299125242+0j),(63933.69619861117+0j),(15992.180139415665+0j),(-131484.51665322558+0j),(-167.82225450612137+0j),(-25.143056730244396+54.386752801962125j),78347.48558239017,-49057.385295194574,63933.69619861117,15992.180139415665,30868.491042832262,39.39946612628809,6.86911725296484,houston,"Houston Metro, TX",TX,False
Lakewood Forest,373981.09003263264,-0.9854916385290902,,,,0.0,0.0,0.0,0.0,0,1990.4844187883275,716.7970892292125,218.15563585236904,311.65090836052724,3237.0880522304365,200,300,75,0.0,575.0,3812.0880522304365,-3812.0880522304365,-45745.05662676524,-61.1595851313948,2617.8676302284284,2408.4382198101544,-828.6498324202821,-9943.797989043385,-13.294519768600754,(86015.65070750551+0j),(-228725.2831338262+0j),(70191.12917001598+0j),(17557.39537393232+0j),(-140976.7585898779+0j),(-163.89663675191684+0j),(-26.03040438608305+53.74205699286948j),86015.65070750551,-53858.817380138324,70191.12917001598,17557.39537393232,33889.70716380997,39.39946612628816,6.86911725296484,houston,"Houston Metro, TX",TX,False
Belding Woods,511672.4729056324,5.328692845321181,-1.8009455757630133,580308.3433767549,-11.827482967371694,0.0,0.0,0.0,0.0,0,2723.3357835089587,980.7055730691287,298.47560919495226,426.3937274213603,4428.9106931944,200,300,75,0.0,575.0,5003.9106931944,-5003.9106931944,-60046.92831833279,-58.67711426544459,3070.0348374337946,2824.432050439091,-1604.4786427553086,-19253.743713063704,-18.81451976860075,(117684.66876829547+0j),(-300234.64159166394+0j),(96033.91614085861+0j),(24021.631435904885+0j),(-180179.09401490045+0j),(-153.103285160829+0j),(-28.71766419585401+51.78964845727128j),117684.66876829547,-104284.4864375251,96033.91614085861,24021.631435904885,15771.061139238387,13.401117838288169,2.547119822909938,houston,"Houston Metro, TX",TX,False
Park Place,163604.80268128627,4.93655097133594,-3.681266712705211,184362.3233173549,-11.259090394699223,0.0,0.0,0.0,0.0,0,870.7734675772604,313.57587180579867,95.43613489741699,136.33733556773856,1416.1228098482147,200,300,75,0.0,575.0,1991.1228098482147,-1991.1228098482147,-23893.473718178575,-73.02192028165808,1390.6408227909333,1279.3895569676586,-136.73325288055617,-1640.799034566674,-5.0145197686007625,(37629.10461669584+0j),(-119467.36859089287+0j),(30706.3810013365+0j),(7680.800666950512+0j),(-81080.18692260586+0j),(-215.47200697045287+0j),(-16.736821167246497+60.494240438911184j),37629.10461669584,-8887.096827349696,30706.3810013365,7680.800666950512,29500.084840937314,78.39698855828814,12.273562637887503,houston,"Houston Metro, TX",TX,False
Bridgeland,507869.0960004355,4.574256143597033,-0.8430790764203722,531303.3817274917,-4.410716463136655,0.0,0.0,0.0,0.0,0,2703.0926143478837,973.415767334168,296.2569726669207,423.22424666702955,4395.989601016002,200,300,75,0.0,575.0,4970.989601016002,-4970.989601016002,-59651.875212192026,-58.72760882869399,3047.214576002613,2803.4374099224037,-1592.5521910935981,-19110.626293123176,-18.814519768600753,(116809.89208010017+0j),(-298259.3760609601+0j),(95320.07438053953+0j),(23843.073231064074+0j),(-179096.2284493565+0j),(-153.32282674017426+0j),(-28.65882180540359+51.832399956383j),116809.89208010017,-103509.31632717224,95320.07438053953,23843.073231064074,15653.831284431362,13.401117838288082,2.5471198229099157,houston,"Houston Metro, TX",TX,False
Lakes of Bella Terra,428653.0056549003,-1.5438835505343307,,,,0.0,0.0,0.0,0.0,0,2281.471313826091,821.5849275052256,250.04758663202517,357.2108380457502,3710.314666009092,200,300,75,0.0,575.0,4285.3146660090915,-4285.3146660090915,-51423.7759921091,-59.982987770660024,2571.9180339294016,2366.1645912150498,-1344.1500747940422,-16129.800897528507,-18.814519768600753,(98590.19130062708+0j),(-257118.87996054548+0j),(80452.29903579701+0j),(20124.093166985607+0j),(-156542.48775776286+0j),(-158.78099605307003+0j),(-27.254684331074618+52.85256554664903j),98590.19130062708,-87364.20448959191,80452.29903579701,20124.093166985607,13212.18771319071,13.401117838288112,2.5471198229099157,houston,"Houston Metro, TX",TX,False
Minnetex,260201.14964960128,2.713110427616172,-1.4990525619266615,274400.19463238167,-5.1745754050222414,0.0,0.0,0.0,0.0,0,1384.8997928829726,498.7188701617358,151.7840039622674,216.83429137466774,2252.2369583816435,200,300,75,0.0,575.0,2827.2369583816435,-2827.2369583816435,-33926.84350057972,-65.19349270029582,1821.408047547209,1675.6954037434323,-576.5415546382112,-6918.4986556585345,-13.294519768600754,(59846.2644194083+0j),(-169634.2175028986+0j),(48836.1925028032+0j),(12215.736524943408+0j),(-108582.28847515199+0j),(-181.43536531235603+0j),(-22.35379139494944+56.41327268994504j),59846.2644194083,-37472.820349973,48836.1925028032,12215.736524943408,23579.108677773605,39.39946612628814,6.86911725296484,houston,"Houston Metro, TX",TX,False
Bay Colony Pointe,293747.74465831736,-1.0905992473878023,,,,0.0,0.0,0.0,0.0,0,1563.4488597954874,563.0165105951082,171.35285105068513,244.78978721526448,2542.6080086565453,200,300,75,0.0,575.0,3117.6080086565453,-3117.6080086565453,-37411.29610387854,-63.67929079318508,2056.2342126082217,1891.735475599564,-650.8725330569812,-7810.470396683774,-13.294519768600754,(67561.981271413+0j),(-187056.4805193927+0j),(55132.428987020976+0j),(13790.657952028967+0j),(-118133.39358034276+0j),(-174.85187875970072+0j),(-23.651908435894676+55.47013545336985j),67561.981271413,-42304.02701377048,55132.428987020976,13790.657952028967,26619.059925279464,39.39946612628808,6.86911725296484,houston,"Houston Metro, TX",TX,False
Telfair,729378.6965660999,4.723121019530541,3.8419495764676626,668296.0711114107,9.140054549940068,0.0,0.0,0.0,0.0,0,3882.0597340477284,1397.9758350850245,425.470906330225,607.81558047175,6313.322055934728,200,300,75,0.0,575.0,6888.322055934728,-6888.322055934728,-82659.86467121674,-56.66457291690702,4011.582831113549,3690.6562046244653,-2622.665851310263,-31471.990215723155,-21.57451976860076,(167757.10021020297+0j),(-413299.3233560837+0j),(136894.39297602396+0j),(34242.346723512164+0j),(-242162.5836565476+0j),(-144.3531053845787+0j),(-31.23895772627239+49.95782148183754j),167757.10021020297,-170462.4506135206,136894.39297602396,34242.346723512164,674.2890860155167,0.401943694288122,0.08025980269665833,houston,"Houston Metro, TX",TX,False
Anserra,388236.5449314683,-2.2628739066422265,,,,0.0,0.0,0.0,0.0,0,2066.357936501205,744.1200444519809,226.47131787668988,323.53045410955696,3360.4797529394327,200,300,75,0.0,575.0,3935.4797529394327,-3935.4797529394327,-47225.75703527319,-60.82085477503091,2717.6558145202785,2500.2433493586564,-860.2364035807764,-10322.836842969316,-13.294519768600749,(89294.40533423772+0j),(-236128.78517636596+0j),(72866.68283529411+0j),(18226.650222813245+0j),(-145035.4521182586+0j),(-162.4238960720738+0j),(-26.374574320611078+53.49200289857404j),89294.40533423772,-55911.814075773895,72866.68283529411,18226.650222813245,35181.51898233346,39.39946612628818,6.8691172529648625,houston,"Houston Metro, TX",TX,False
Trails of Katy,558021.2782491883,-0.4985495944987761,,,,0.0,0.0,0.0,0.0,0,2970.0235902580944,1069.5407833109443,325.5124123120265,465.0177318743236,4830.094517755389,200,300,75,0.0,575.0,5405.094517755389,-5405.094517755389,-64861.134213064666,-58.117079707577446,3348.1276694951302,3080.27745593552,-1749.8170618198687,-20997.804741838423,-18.814519768600746,(128344.89399731331+0j),(-324305.67106532335+0j),(104732.95218693675+0j),(26197.581830763665+0j),(-193375.13704762293+0j),(-150.66835230053712+0j),(-29.383693122318398+51.305750117313146j),128344.89399731331,-113730.88353369445,104732.95218693675,26197.581830763665,17199.650484005964,13.401117838288146,2.547119822909938,houston,"Houston Metro, TX",TX,False
South Main,219513.008946768,3.3413753996276885,-2.1472976908266217,232934.8847443816,-5.76207201095813,0.0,0.0,0.0,0.0,0,1168.3404206125997,420.73326714797196,128.049255218948,182.92750745564,1900.0504504351597,200,300,75,0.0,575.0,2475.0504504351597,-2475.0504504351597,-29700.60540522192,-67.65112816713366,1865.8605760475282,1716.591729963726,-183.4587204714337,-2201.5046456572045,-5.014519768600753,(50487.992057756644+0j),(-148503.0270261096+0j),(41199.58569064821+0j),(10305.538944398635+0j),(-96997.90239106276+0j),(-192.12073690730315+0j),(-20.41538397457391+57.82160811744903j),50487.992057756644,-11924.059278217925,41199.58569064821,10305.538944398635,39581.06535682892,78.39698855828817,12.273562637887503,houston,"Houston Metro, TX",TX,False
Memorial Northwest,414982.65583653486,3.4002721409754244,0.8761443888517517,409079.98804692767,1.4429128684070536,0.0,0.0,0.0,0.0,0,2208.7119710730444,795.3834236866918,242.07321590464537,345.81887986377905,3591.9874905281604,200,300,75,0.0,575.0,4166.98749052816,-4166.98749052816,-50003.84988633792,-60.248120232324666,2489.895935019209,2290.7042602176725,-1301.2832303104879,-15615.398763725854,-18.81451976860075,(95446.01084240302+0j),(-250019.24943168962+0j),(77886.5615814876+0j),(19482.307410812587+0j),(-152650.38043938944+0j),(-159.93374588639455+0j),(-26.971575894898336+53.05825586556819j),95446.01084240302,-84578.03660736445,77886.5615814876,19482.307410812587,12790.832384935726,13.401117838288162,2.547119822909938,houston,"Houston Metro, TX",TX,False
Richmond Heights/East Richmond,745511.697964149,4.419723388941255,-3.465941945049633,904702.62313422,-17.595939383769622,0.0,0.0,0.0,0.0,0,3967.9263427265378,1428.8974210979522,434.88182381242024,621.2597483034575,6452.965335940368,200,300,75,0.0,575.0,7027.965335940368,-7027.965335940368,-84335.58403128442,-56.56221375304299,4100.314338802819,3772.289191698594,-2680.676144241774,-32168.113730901292,-21.574519768600755,(171467.69053175426+0j),(-421677.92015642213+0j),(139922.33640741964+0j),(34999.74727574072+0j),(-246755.83647326176+0j),(-143.90806554169154+0j),(-31.377504824003132+49.85716112320444j),171467.69053175426,-174232.88011332645,139922.33640741964,34999.74727574072,689.2035698339168,0.4019436942881567,0.08025980269665833,houston,"Houston Metro, TX",TX,False
Coles Crossing,502528.71324029745,3.402937946409068,1.3531227449667504,488855.7242420696,2.796937484863604,0.0,0.0,0.0,0.0,0,2674.66885454363,963.1800337105701,293.1417493901735,418.7739277002479,4349.764565344622,200,300,75,0.0,575.0,4924.764565344622,-4924.764565344622,-59097.17478413546,-58.79979912299714,3015.1722794417847,2773.958497086442,-1575.8060682581795,-18909.672819098152,-18.81451976860075,(115581.60404526842+0j),(-295485.8739206773+0j),(94317.75766954903+0j),(23592.356780241127+0j),(-177575.75947088713+0j),(-153.63669758497053+0j),(-28.575032625376164+51.89327635905963j),115581.60404526842,-102420.88749230013,94317.75766954903,23592.356780241127,15489.226957490027,13.401117838288135,2.547119822909938,houston,"Houston Metro, TX",TX,False
Langwood,204302.03716908355,3.9793678895434947,0.07866861558123439,204557.51372242335,-0.12489228515285555,0.0,0.0,0.0,0.0,0,1087.3812407902508,391.57890457407683,119.17618834863207,170.25169764090296,1768.3880313538625,200,300,75,0.0,575.0,2343.3880313538625,-2343.3880313538625,-28120.65637624635,-68.82128236678632,1736.5673159372102,1597.6419306622336,-170.74610069162895,-2048.9532082995474,-5.014519768600745,(46989.46854888922+0j),(-140603.28188123176+0j),(38344.69459239574+0j),(9591.425175974582+0j),(-92667.16211286144+0j),(-197.20836386231483+0j),(-19.555126834855162+58.44662151447495j),46989.46854888922,-11097.791486497219,38344.69459239574,9591.425175974582,36838.3282818731,78.39698855828817,12.273562637887503,houston,"Houston Metro, TX",TX,False
Longwood Village,405046.8436691926,3.344094289199395,0.414214173504579,404984.28278556885,0.015447731253526165,0.0,0.0,0.0,0.0,0,2155.8294060605285,776.3397836992858,236.27732547369567,337.53903639099383,3505.985551624504,200,300,75,0.0,575.0,4080.985551624504,-4080.985551624504,-48971.826619494044,-60.45205312041638,2430.2810620151554,2235.858577053943,-1270.1269745705608,-15241.52369484673,-18.814519768600757,(93160.7740439143+0j),(-244859.1330974702+0j),(76021.74570219789+0j),(19015.84804366133+0j),(-149821.539351611+0j),(-160.82041061722808+0j),(-26.756765635573686+53.21432465441942j),93160.7740439143,-82553.0086371729,76021.74570219789,19015.84804366133,12484.585108686326,13.401117838288162,2.547119822909938,houston,"Houston Metro, TX",TX,False
Indian Springs,653428.545158782,3.6178559815902345,5.933752012948634,565010.7906585104,15.648861218601207,0.0,0.0,0.0,0.0,0,3477.821132123526,1252.4047115543322,381.16665134262286,544.5237876323184,5655.916282652798,200,300,75,0.0,575.0,6230.916282652798,-6230.916282652798,-74770.99539183358,-57.21436256941021,3593.856998373301,3306.348438503437,-2349.567844149361,-28194.814129792332,-21.57451976860074,(150288.56538651988+0j),(-373854.9769591679+0j),(122639.58964506374+0j),(30676.693612944626+0j),(-220538.69370115956+0j),(-146.74349517807076+0j),(-30.513268937048732+50.48506524930525j),150288.56538651988,-152712.207846201,122639.58964506374,30676.693612944626,604.0754118073673,0.4019436942882348,0.08025980269668054,houston,"Houston Metro, TX",TX,False
Creekside Park,795679.1131857707,5.454512361538932,4.739947838837444,715544.1963678766,11.19915684099757,0.0,0.0,0.0,0.0,0,4234.938394915619,1525.0516336060602,464.14614935836624,663.0659276548089,6887.202105534854,200,300,75,0.0,575.0,7462.202105534854,-7462.202105534854,-89546.42526641826,-56.2704385363899,4376.235122521739,4026.13631272,-2861.065792814854,-34332.78951377825,-21.57451976860075,(183006.19603272725+0j),(-447732.1263320913+0j),(149338.07323421864+0j),(37354.97102210019+0j),(-261039.08207577246+0j),(-142.63947764319985+0j),(-31.778695472589046+49.56567905516872j),183006.19603272725,-185957.46239120857,149338.07323421864,37354.97102210019,735.58186511026,0.40194369428820587,0.08025980269668054,houston,"Houston Metro, TX",TX,False
Towne Lake,632967.7173993494,5.549836930237095,1.1773338832615554,623641.046548731,1.4955190814063268,0.0,0.0,0.0,0.0,0,3368.92001402927,1213.1881250154197,369.2311684829538,527.4730978327913,5478.812405360435,200,300,75,0.0,575.0,6053.812405360435,-6053.812405360435,-72645.74886432523,-57.38503470824868,3481.3224456964217,3202.8166500407083,-2275.995755319727,-27311.94906383672,-21.57451976860075,(145582.57500185037+0j),(-363228.74432162615+0j),(118799.37247241882+0j),(29716.113379813207+0j),(-214713.25846939412+0j),(-147.48554795562936+0j),(-30.294036369032916+50.644347033492565j),145582.57500185037,-147930.32587202973,118799.37247241882,29716.113379813207,585.1599802022974,0.4019436942881797,0.08025980269668054,houston,"Houston Metro, TX",TX,False
